,행정구역별(2),행정구역별(3),2001,2001.1,2002,2002.1,2003,2003.1,2004,2004.1,2005,2005.1,2006,2006.1
1,행정구역별(2),행정구역별(3),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명),사업체수 (개소),종사자수 (명)
2,대전,소계,1260,36343,1850,34089,1236,33656,1265,34347,1329,35471,1373,35705
3,경기,수원시,1044,42872,1076,40676,1012,40112,1018,41395,992,48219,923,50501
4,강원,원주시,312,10596,329,11239,383,11823,409,9659,423,12121,440,11842
5,충북,청주시,430,28950,435,28085,465,28430,457,32199,475,27456,495,27475
6,경북,구미시,837,71104,878,71637,967,77878,958,83070,1064,81955,1138,94112
7,제주,제주시,126,1530,143,1791,157,1838,144,1702,142,1542,150,3946
8,경기,양평읍,109,373,113,416,18,240,19,220,96,347,20,233
9,강원,홍천읍,29,646,32,747,33,847,34,597,31,964,28,770
10,,평창읍,8,215,11,243,12,248,14,264,13,239,14,283
11,경북,의성읍,21,494,22,469,20,452,19,270,16,193,14,261
