,행정구역별(1),행정구역별(2),2009,2009.1,2010,2010.1,2011,2011.1,2012,2012.1,2013,2013.1,2014,2014.1,2015,2015.1,2016,2016.1,2017,2017.1,2018,2018.1,2019,2019.1
1,행정구역별(1),행정구역별(2),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
2,대전광역시,소계,728,31380,796,36753,6592,54271,6914,55451,841,37471,847,40789,862,41919,882,42462,868,41482,883,41119,917,42462
3,경기도,수원시,440,39173,522,42272,3224,47698,537,41746,500,32010,3506,38775,3704,39858,546,30646,581,32180,576,31684,597,27616
4,,양평군,28,334,28,646,282,1354,26,575,23,460,332,1288,333,1380,21,524,24,565,25,636,20,459
5,강원도,원주시,207,9772,234,10739,1318,15053,239,11461,277,12187,302,13264,302,13264,304,14420,315,14802,319,15111,323,14922
6,,홍천군,30,1145,35,1762,280,2533,34,1489,40,1591,40,1720,40,1720,45,1840,47,1837,45,1758,45,1780
7,,평창군,20,315,23,502,175,886,24,494,21,459,20,447,20,447,24,555,21,521,22,505,22,481
8,충청북도,청주시,224,24616,252,24977,2313,30702,239,25960,228,27339,893,64005,893,64005,964,67629,983,69366,1004,72960,1024,72809
9,경상북도,구미시,745,79784,864,87305,3058,96296,903,88903,1014,90693,1036,88341,1050,89099,1010,84691,1003,84372,1011,79794,993,73994
10,,의성군,32,729,44,1246,330,1868,43,1202,43,1185,44,1188,44,1241,39,1085,37,913,39,969,44,994
11,제주특별자치도,제주시,113,2386,132,3261,1432,6453,137,3330,142,3247,162,3597,1741,8786,164,4058,157,4228,146,3907,165,4136
