,행정구역별(2),행정구역별(3),1988,1988.1,1989,1989.1,1990,1990.1,1991,1991.1,1992,1992.1,1993,1993.1,1994,1994.1,1995,1995.1,1996,1996.1
2,행정구역별(2),행정구역별(3),업체수 (개소),종업원수 (명),업체수 (개소),종업원수 (명),업체수 (개소),종업원수 (명),업체수 (개소),종업원수 (명),업체수 (개소),종업원수 (명),업체수 (개소),종업원수 (명),업체수 (개소),종업원수 (명),업체수 (개소),종업원수 (명),업체수 (개소),종업원수 (명)
3,대전,소계,673,51144,667,43005,851,48690,858,45351,951,45188,1118,43662,1219,42609,1331,42904,1341,41402
4,경기,수원시,217,35015,230,46700,381,56270,500,54340,507,54197,426,48400,549,50319,675,61467,644,60869
5,강원,원주시,79,4060,78,3837,97,4966,132,5245,118,5530,124,5105,142,5444,268,12285,1424,14851
6,충북,청주시,339,41436,296,40647,319,40782,302,35450,293,33166,300,34190,301,36503,343,37258,350,37236
7,경북,구미시,359,69826,452,78936,640,84660,470,71036,522,80076,477,67935,512,72636,769,79620,745,79702
8,제주,제주시,373,9498,374,9508,464,15474,485,15066,94,1817,97,1883,71,1063,77,1087,81,1146
9,경기,양평읍,21,405,22,444,27,517,25,511,21,327,15,179,19,206,20,191,18,132
10,강원,홍천읍,7,820,14,926,21,1312,23,870,22,745,27,837,27,510,33,704,29,467
11,,평창읍,4,41,2,30,5,80,13,329,17,286,12,247,14,213,11,196,18,246
