,행정구역별(2),행정구역별(3),1997,1997.1,1998,1998.1,1999,1999.1,2000,2000.1
1,행정구역별(2),행정구역별(3),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
2,대전,소계,6721,50597,1014,34665,1226,36244,1252,37555
3,경기,수원시,974,54049,742,40095,865,39847,931,46049
4,강원,원주시,260,10768,213,8927,242,9225,256,9916
5,충북,청주시,345,35061,298,29939,2073,34405,2193,36173
6,경북,구미시,745,79702,734,76333,771,71440,825,72821
7,제주,제주시,123,1631,96,1317,103,1356,115,1521
8,경기,양평읍,21,198,88,283,95,311,13,172
9,강원,홍천읍,31,592,31,646,30,714,30,786
10,,평창읍,10,218,10,209,7,166,6,193
11,경북,의성읍,25,735,21,494,145,5,23,621
