,구미시,대전광역시,수원시,양평군,원주시,의성군,제주시,청주시,평창군,홍천군
1988,190132,1020613,543742,17429,161533,21419,223285,417435,11941,31911
1989,202223,1051795,605225,19351,165956,20711,229815,453470,11324,32032
1990,206101,1062084,644968,19726,173013,20500,232687,497429,10844,31476
1991,187984,1091111,670326,18075,164975,20268,228665,455148,11162,30840
1992,196816,1134843,696322,77593,171356,96598,237481,471118,53352,79408
1993,210203,1189039,713221,77111,175910,93233,243014,489033,51716,78047
1994,220187,1232823,729017,76548,179828,89786,248537,504221,50535,76891
1995,302413,1265081,746610,78749,237537,86169,255247,519072,49781,75924
1996,311437,1293760,769876,81314,244535,83552,260640,530836,49361,75493
1997,321463,1318212,798640,81502,254271,81533,265856,544115,48811,75105
1998,328659,1341413,854084,81200,260355,80559,270424,557405,48746,75251
1999,335487,1363546,910045,81885,265073,78866,273930,569072,48003,74939
2000,336914,1385606,948065,82773,270009,76327,278535,580861,47125,74461
2001,344159,1403164,974866,82704,274266,73872,284498,592504,46478,74019
2002,350011,1419573,1019711,82992,276889,70863,289874,603941,46262,72514
2003,355629,1432296,1032944,83730,280738,68372,292124,615155,46375,71351
2004,365681,1443471,1033829,84673,284628,66124,296068,624288,45311,71907
2005,374614,1454638,1045587,85533,288454,64457,303499,630939,45033,70811
2006,386465,1466158,1068906,86298,294155,62947,403601,626679,44332,70037
2007,391897,1475659,1067702,87874,298762,61366,405458,633286,44003,70142
2008,393959,1480895,1067425,89812,303975,60033,407498,638663,43706,70360
2009,396419,1484180,1073149,91450,307882,59109,410378,643161,43634,69606
2010,404920,1503664,1077535,95833,314678,58832,417539,655971,43622,69893
2011,413446,1515603,1088489,99430,320536,57744,422790,661946,43577,69899
2012,416949,1524583,1120258,102193,323885,57043,429656,666852,43627,69727
2013,419428,1532811,1148157,103620,324837,56064,438165,672904,43666,70638
2014,420320,1531809,1174228,105379,327292,55212,448834,831521,43660,70451
2015,419915,1518775,1184624,108316,332995,54477,459876,831912,43500,70336
2016,419891,1514370,1194041,111367,337979,54014,470665,835197,43318,70076
2017,421799,1502227,1202628,115105,341337,53474,478700,835590,43092,70340
2018,421494,1489936,1201166,116095,344070,52944,485946,837749,42610,69949
2019,419742,1474870,1194465,116874,349215,52595,489405,839566,42106,69150
2020,416328,1463882,1186078,118810,354376,51724,492466,844993,41681,69242
2021,412581,1452251,1183714,121230,357757,50632,493096,848482,40996,68365
